機種,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年
ゲームボーイアドバンス,,420,336.7,361.3,257.5,125.5,43.3,7.4,1,,,,,,,,,,,,,
ニンテンドーDS,,,,,109.6,400.3,886.3,714.4,403,402.5,296.4,71.1,2.9,,,,,,,,,
ニンテンドー3DS,,,,,,,,,,,,413.6,562.7,493.2,315.3,219,187.5,182.7,56.6,19.1,6.2,2.9
プレイステーション・ポータブル,,,,,34,222.6,194.7,302.3,354.3,230.8,289.1,196,94.2,42.9,8.4,,,,,,,
プレイステーション Vita,,,,,,,,,,,,40.3,67.4,119.8,114.8,95.9,86.5,39.6,18.2,3.8,,
ニンテンドーゲームキューブ,,92.6,103.5,104,60.8,30.5,9,0.6,,,,,,,,,,,,,,
Wii,,,,,,,98.9,362.9,290.8,197.5,172.8,93.8,49.3,7.7,0.9,,,,,,,
Wii U,,,,,,,,,,,,,63.8,88,60.5,82,33.6,2.2,0.2,,,
NINTENDO SWITCH,,,,,,,,,,,,,,,,,,340.7,348.2,449.4,595.6,557.9
プレイステーション2,374.8,360.4,365.3,281.3,275.1,213.5,154.8,81.6,48.1,25.6,9.2,5.8,2.6,0.7,,,,,,,,
プレイステーション3,,,,,,,46.7,120.6,99.1,172.7,155.9,146.7,132.7,82.4,45,18.8,5.1,1.6,,,,
プレイステーション4,,,,,,,,,,,,,,,92.6,120.5,179.1,193.5,169.5,119.6,54.2,10.4
プレイステーション5,,,,,,,,,,,,,,,,,,,,,25.5,96.8
Xbox,,,32.8,9.7,3.5,1.3,,,,,,,,,,,,,,,,
Xbox 360,,,,,,8.2,20.9,25.8,31.8,33.2,20.9,11.4,6.7,2,0.9,,,,,,,
Xbox One,,,,,,,,,,,,,,,4.6,1.8,0.9,1.5,1.5,0.8,0.3,
Xbox Series X/S,,,,,,,,,,,,,,,,,,,,,3.1,9.7
