順位,ハード名,略称,メーカー,発売日,推定累計販売台数_万台
1,ニンテンドーDS,DS,任天堂,2004,3286
2,ゲームボーイ,GB,任天堂,1989,3247
3,NINTENDO SWITCH,SWITCH,任天堂,2017,2579
4,ニンテンドー3DS,3DS,任天堂,2011,2461
5,プレイステーション2,PS2,SCE,2000,2198
6,プレイステーション・ポータブル,PSP,SCE,2004,1969
7,プレイステーション,PS,SCE,1994,1941
8,ファミリーコンピュータ,FC,任天堂,1983,1935
9,スーパーファミコン,SFC,任天堂,1990,1717
10,ゲームボーイアドバンス,GBA,任天堂,2001,1552
11,Wii,Wii,任天堂,2006,1274
12,プレイステーション3,PS3,SCE,2006,1027
13,プレイステーション4,PS4,SCE,2014,939
14,プレイステーション Vita,Vita,SCE,2011,586
15,PCエンジン,PC,NEC/ホームエレクトロニクス,1987,584
16,セガサターン,SS,セガ・エンタープライゼス,1994,575
17,ニンテンドウ64,N64,任天堂,1996,554
18,ニンテンドー ゲームキューブ,GC,任天堂,2001,400
19,ワンダースワン,WS,バンダイ,1999,350
20,Wii U,Wii U,任天堂,2012,330
21,メガドライブ,MD,セガ・エンタープライゼス,1988,318
22,ドリームキャスト,DC,エンタープライゼス,1998,253
23,プレイステーション5,PS5,SIE,2020,189
24,ゲームギア,GG,セガ・エンタープライゼス,1990,178
25,Xbox 360,Xbox 360,マイクロソフト,2005,161
26,3DO REAL,3DO,松下電器,1994,75
27,ネオジオポケット,NGP,SNK,1998,50
28,Xbox,Xbox,マイクロソフト,2002,47
29,Xbox Series X/S,Xbox Series X/S,マイクロソフト,2020,31
30,PC-FX,PCFX,NEC/ホームエレクトロニクス,1994,30
31,バーチャルボーイ,VB,任天堂,1995,15
32,Xbox One,Xbox One,マイクロソフト,2014,11
