都道府県コード,都道府県名,セブンイレブン,ファミリーマート,ローソン,ミニストップ,デイリーヤマザキ,セイコーマート,NewDays,コミュニティストア,ポプラ,ローソン・スリーエフ
01,北海道,"1,002",240,675,-,-,"1,085",-,-,-,-
02,青森県,99,197,279,26,11,-,5,-,-,-
03,岩手県,146,183,178,11,22,-,13,-,-,-
04,宮城県,426,348,256,108,32,-,27,-,-,-
05,秋田県,111,144,182,-,16,-,7,-,-,-
06,山形県,185,141,111,-,6,-,7,-,-,-
07,福島県,454,181,170,81,16,-,14,-,-,-
08,茨城県,645,329,216,105,30,84,20,-,-,3
09,栃木県,457,226,197,29,16,-,8,-,-,-
10,群馬県,475,122,244,45,24,-,10,-,-,-
11,埼玉県,"1,230",781,695,132,68,9,56,-,28,16
12,千葉県,"1,159",635,600,172,125,-,62,-,61,28
13,東京都,"2,848","2,439","1,682",266,131,-,165,-,88,35
14,神奈川県,"1,482",986,"1,077",119,79,-,67,-,158,15
15,新潟県,436,179,226,-,55,-,15,-,-,-
16,富山県,135,151,181,-,8,-,-,-,-,-
17,石川県,135,248,103,-,9,-,-,-,-,-
18,福井県,70,151,106,7,-,-,-,-,-,-
19,山梨県,207,82,137,-,31,-,2,-,-,-
20,長野県,461,265,174,-,35,-,12,-,-,-
21,岐阜県,196,348,181,85,46,-,-,-,-,-
22,静岡県,752,495,276,130,32,-,4,-,-,-
23,愛知県,"1,068","1,589",716,196,70,-,-,-,-,-
24,三重県,172,393,136,83,5,-,-,-,-,-
25,滋賀県,230,156,154,5,3,-,-,-,-,3
26,京都府,354,331,329,34,31,-,-,-,-,5
27,大阪府,"1,267","1,363","1,177",82,123,-,-,-,-,25
28,兵庫県,692,531,700,43,51,-,-,-,-,10
29,奈良県,136,152,137,11,21,-,-,-,-,-
30,和歌山県,86,115,152,-,19,-,-,-,-,-
31,鳥取県,44,71,137,-,-,-,-,-,-,5
32,島根県,60,66,141,-,1,-,-,-,-,6
33,岡山県,320,235,236,-,14,-,-,-,-,11
34,広島県,596,270,301,-,29,-,-,-,-,32
35,山口県,326,91,127,-,7,-,-,-,-,11
36,徳島県,80,84,135,18,3,-,-,-,-,-
37,香川県,108,121,132,31,16,-,-,-,-,-
38,愛媛県,124,233,213,7,6,-,-,-,-,1
39,高知県,43,104,138,-,-,-,-,-,-,-
40,福岡県,"1,025",532,529,117,71,-,-,-,-,31
41,佐賀県,187,73,74,12,11,-,-,-,-,4
42,長崎県,204,153,125,-,44,-,-,-,-,-
43,熊本県,360,200,161,-,53,-,-,-,-,9
44,大分県,181,119,197,3,11,-,-,-,-,-
45,宮崎県,199,128,109,-,1,-,-,-,-,-
46,鹿児島県,206,262,202,-,-,-,-,-,-,-
47,沖縄県,122,328,260,-,-,-,-,-,-,-
