都道府県コード,都道府県名,店舗数
01,北海道,47
02,青森県,11
03,岩手県,8
04,宮城県,31
05,秋田県,8
06,山形県,8
07,福島県,15
08,茨城県,37
09,栃木県,27
10,群馬県,24
11,埼玉県,86
12,千葉県,81
13,東京都,384
14,神奈川県,124
15,新潟県,22
16,富山県,11
17,石川県,16
18,福井県,9
19,山梨県,12
20,長野県,26
21,岐阜県,22
22,静岡県,41
23,愛知県,139
24,三重県,21
25,滋賀県,16
26,京都府,39
27,大阪府,139
28,兵庫県,61
29,奈良県,16
30,和歌山県,10
31,鳥取県,4
32,島根県,4
33,岡山県,20
34,広島県,33
35,山口県,9
36,徳島県,6
37,香川県,14
38,愛媛県,13
39,高知県,7
40,福岡県,67
41,佐賀県,11
42,長崎県,11
43,熊本県,18
44,大分県,11
45,宮崎県,9
46,鹿児島県,10
47,沖縄県,27
