年次,産業中分類コード,産業中分類名,事業所数,従業者数,製造品出荷額等_百万円,付加価値額_百万円
2019,00,合計,181877,7717646,322533418,100234752
,09,食料品製造業,23648,1136951,29857188,10325478
,10,飲料・たばこ・飼料製造業,3898,103462,9601994,2782564
,11,繊維工業,10586,239139,3694090,1454844
,12,木材・木製品製造業（家具を除く）,4613,87554,2810746,873862
,13,家具・装備品製造業,4578,89287,1985835,728882
,14,パルプ・紙・紙加工品製造業,5338,187842,7687869,2394693
,15,印刷・同関連業,9661,251733,4845327,2129072
,16,化学工業,4650,381259,29252783,11515565
,17,石油製品・石炭製品製造業,915,27000,13844350,936727
,18,プラスチック製品製造業（別掲を除く）,12119,451650,12962929,4654947
,19,ゴム製品製造業,2256,117393,3335912,1406092
,20,なめし革・同製品・毛皮製造業,1057,19483,325618,114255
,21,窯業・土石製品製造業,9024,237550,7653456,3163880
,22,鉄鋼業,4015,223524,17747599,3009629
,23,非鉄金属製造業,2475,140206,9614166,2118209
,24,金属製品製造業,25094,612427,15965293,6243859
,25,はん用機械器具製造業,6615,327541,12162013,4484641
,26,生産用機械器具製造業,18273,622006,20853325,7570596
,27,業務用機械器具製造業,3727,211175,6753278,2652778
,28,電子部品・デバイス・電子回路製造業,3789,410504,14124033,5078791
,29,電気機械器具製造業,8306,502824,18229337,6225810
,30,情報通信機械器具製造業,1183,122202,6711605,1907860
,31,輸送用機械器具製造業,9538,1064560,67993768,16759394
,32,その他の製造業,6519,150374,4520904,1702322
2020,00,合計,176858,7465556,302003273,96825529
,09,食料品製造業,21624,1094454,29605781,10270051
,10,飲料・たばこ・飼料製造業,4093,102880,9275727,2759855
,11,繊維工業,9448,219843,3452491,1356402
,12,木材・木製品製造業（家具を除く）,4546,86067,2738069,888369
,13,家具・装備品製造業,4241,86078,1999768,736866
,14,パルプ・紙・紙加工品製造業,5043,179189,7095704,2232319
,15,印刷・同関連業,9306,235105,4575588,2099908
,16,化学工業,4978,377971,28603045,11556149
,17,石油製品・石炭製品製造業,979,28027,11114363,1541748
,18,プラスチック製品製造業（別掲を除く）,11680,440660,12574301,4676691
,19,ゴム製品製造業,2009,111724,2981969,1290818
,20,なめし革・同製品・毛皮製造業,863,16903,264189,104382
,21,窯業・土石製品製造業,9058,232706,7558126,3261172
,22,鉄鋼業,4213,218553,15072285,2679966
,23,非鉄金属製造業,2533,141077,9423653,2260154
,24,金属製品製造業,24094,582642,15020417,5981069
,25,はん用機械器具製造業,6555,318401,11424236,4094696
,26,生産用機械器具製造業,18138,606843,19553507,7112788
,27,業務用機械器具製造業,3786,209694,6387042,2476128
,28,電子部品・デバイス・電子回路製造業,3841,412146,14592905,5337609
,29,電気機械器具製造業,8191,480830,17819148,6309548
,30,情報通信機械器具製造業,1135,112986,6416679,1741255
,31,輸送用機械器具製造業,9718,1017610,60178105,14308273
,32,その他の製造業,6786,153167,4276175,1749313
